iter	Passed	Remaining
646	55651	116377
647	55741	116300
648	55854	116269
649	55946	116195
650	56055	116157
651	56183	116158
652	56304	116143
653	56411	116101
654	56494	116007
655	56578	115916
656	56710	115923
657	56798	115841
658	56897	115780
659	56979	115686
660	57063	115594
661	57150	115510
662	57243	115436
663	57342	115376
664	57445	115323
665	57534	115241
666	57622	115158
667	57716	115088
668	57807	115009
669	57904	114945
670	58006	114889
671	58128	114873
672	58218	114793
673	58317	114730
674	58405	114648
675	58523	114623
676	58626	114567
677	58714	114485
678	58806	114408
679	58892	114321
680	58992	114260
681	59083	114182
682	59234	114220
683	59341	114171
684	59429	114087
685	59529	114025
686	59620	113947
687	59715	113875
688	59800	113785
689	59896	113716
690	59979	113622
691	60101	113602
692	60197	113533
693	60311	113496
694	60407	113426
695	60519	113387
696	60602	113292
697	60703	113231
698	60804	113171
699	60897	113095
700	60986	113011
701	61068	112916
702	61156	112830
703	61246	112749
704	61346	112686
705	61428	112589
706	61528	112526
707	61625	112457
708	61725	112395
709	61812	112307
710	61902	112225
711	61986	112132
712	62068	112036
713	62149	111939
714	62248	111873
715	62339	111793
716	62435	111721
717	62525	111641
718	62662	111642
719	62748	111553
720	62832	111460
721	62934	111399
722	63028	111323
723	63110	111227
724	63196	111139
725	63280	111045
726	63368	110959
727	63451	110865
728	63552	110803
729	63690	110803
730	63793	110744
731	63889	110671
732	63982	110594
733	64073	110513
734	64170	110443
735	64254	110350
736	64349	110276
737	64453	110217
738	64554	110152
739	64651	110082
740	64748	110010
741	64833	109919
742	64914	109821
743	65002	109735
744	65097	109660
745	65229	109649
746	65341	109603
747	65432	109520
748	65518	109430
749	65613	109355
750	65711	109285
751	65802	109204
752	65897	109129
753	65986	109043
754	66068	108947
755	66172	108887
756	66285	108840
757	66372	108752
758	66473	108686
759	66564	108605
760	66646	108508
761	66728	108411
762	66810	108314
763	66904	108238
764	67000	108164
765	67088	108076
766	67175	107988
767	67256	107891
768	67351	107814
769	67449	107743
770	67548	107674
771	67633	107583
772	67731	107511
773	67819	107424
774	67911	107344
775	67998	107255
776	68082	107162
777	68165	107067
778	68276	107016
779	68378	106951
780	68478	106882
781	68558	106783
782	68656	106710
783	68745	106625
784	68851	106565
785	68936	106473
786	69021	106381
787	69104	106286
788	69206	106221
789	69311	106160
790	69410	106089
791	69496	106000
792	69582	105909
793	69701	105869
794	69790	105782
795	69880	105698
796	69966	105608
797	70050	105514
798	70137	105425
799	70242	105364
800	70346	105299
801	70443	105225
802	70544	105158
803	70631	105068
804	70773	105061
805	70870	104986
806	70982	104934
807	71078	104857
808	71168	104772
809	71259	104689
810	71345	104598
811	71438	104518
812	71522	104425
813	71624	104357
814	71714	104271
815	71801	104182
816	71929	104152
817	72015	104061
818	72100	103969
819	72191	103884
820	72303	103832
821	72433	103804
822	72515	103706
823	72604	103620
824	72694	103534
825	72794	103463
826	72890	103386
827	72984	103307
828	73069	103213
829	73219	103213
830	73326	103151
831	73419	103069
832	73504	102977
833	73610	102913
834	73696	102822
835	73784	102733
836	73904	102689
837	74002	102615
838	74097	102536
839	74195	102460
840	74299	102394
841	74389	102307
842	74484	102228
843	74575	102144
844	74690	102091
845	74775	101998
846	74876	101926
847	74986	101868
848	75096	101808
849	75179	101713
850	75283	101645
851	75367	101552
852	75471	101484
853	75563	101400
854	75671	101338
855	75796	101297
856	75889	101216
857	75984	101135
858	76086	101064
859	76169	100969
860	76271	100897
861	76353	100800
862	76435	100703
863	76550	100650
864	76656	100583
865	76753	100506
866	76845	100422
867	76959	100366
868	77047	100276
869	77134	100186
870	77219	100092
871	77309	100006
872	77406	99928
873	77502	99848
874	77584	99751
875	77689	99683
876	77818	99646
877	77916	99569
878	78006	99483
879	78090	99388
880	78174	99292
881	78279	99225
882	78364	99131
883	78452	99042
884	78533	98943
885	78619	98851
886	78706	98759
887	78798	98675
888	78909	98614
889	78994	98521
890	79082	98431
891	79168	98339
892	79267	98263
893	79377	98201
894	79471	98118
895	79560	98029
896	79664	97960
897	79749	97866
898	79833	97771
899	79949	97716
900	80031	97619
901	80120	97530
902	80200	97430
903	80280	97331
904	80371	97244
905	80467	97164
906	80552	97071
907	80643	96985
908	80738	96903
909	80818	96804
910	80927	96739
911	81014	96648
912	81126	96587
913	81218	96503
914	81306	96413
915	81396	96324
916	81506	96261
917	81602	96180
918	81692	96092
919	81781	96004
920	81870	95915
921	81959	95826
922	82062	95753
923	82171	95688
924	82266	95607
925	82359	95522
926	82442	95426
927	82520	95324
928	82599	95224
929	82681	95127
930	82766	95034
931	82876	94970
932	82986	94905
933	83077	94818
934	83191	94758
935	83283	94672
936	83375	94587
937	83504	94543
938	83602	94465
939	83703	94389
940	83811	94321
941	83898	94229
942	83981	94134
943	84065	94039
944	84150	93946
945	84253	93872
946	84353	93795
947	84455	93721
948	84541	93628
949	84633	93542
950	84728	93459
951	84827	93381
952	84910	93285
953	85019	93218
954	85107	93128
955	85191	93033
956	85285	92949
957	85372	92857
958	85452	92759
959	85537	92665
960	85623	92573
961	85715	92487
962	85814	92409
963	85905	92321
964	85992	92230
965	86076	92135
966	86174	92056
967	86257	91960
968	86344	91868
969	86433	91780
970	86523	91691
971	86612	91602
972	86692	91504
973	86778	91411
974	86860	91315
975	86942	91217
976	87033	91131
977	87140	91060
978	87234	90977
979	87324	90889
980	87413	90799
981	87506	90714
982	87618	90649
983	87725	90578
984	87814	90489
985	87904	90401
986	87989	90307
987	88083	90223
988	88170	90132
989	88253	90036
990	88347	89952
991	88451	89878
992	88539	89788
993	88641	89711
994	88724	89616
995	88826	89540
996	88939	89474
997	89023	89380
998	89123	89301
999	89210	89210
1000	89299	89121
1001	89415	89058
1002	89506	88970
1003	89639	88925
1004	89736	88843
1005	89832	88760
1006	89925	88675
1007	90022	88593
1008	90132	88524
1009	90243	88456
1010	90360	88393
1011	90463	88318
1012	90543	88219
1013	90642	88139
1014	90722	88041
1015	90830	87969
1016	90939	87899
1017	91038	87818
1018	91130	87731
1019	91216	87639
1020	91316	87560
1021	91407	87472
1022	91495	87381
1023	91587	87294
1024	91690	87217
1025	91798	87145
1026	91883	87051
1027	91979	86969
1028	92100	86908
1029	92203	86832
1030	92285	86735
1031	92380	86651
1032	92468	86560
1033	92553	86466
1034	92645	86379
1035	92742	86296
1036	92830	86205
1037	92909	86107
1038	93008	86026
1039	93100	85938
1040	93186	85846
1041	93278	85758
1042	93364	85666
1043	93451	85574
1044	93560	85502
1045	93645	85408
1046	93729	85314
1047	93823	85228
1048	93912	85139
1049	94003	85050
1050	94089	84958
1051	94177	84866
1052	94272	84782
1053	94371	84701
1054	94471	84620
1055	94558	84529
1056	94641	84434
1057	94734	84347
1058	94820	84254
1059	94907	84163
1060	95010	84085
1061	95104	84000
1062	95228	83940
1063	95346	83876
1064	95441	83791
1065	95529	83700
1066	95635	83625
1067	95737	83546
1068	95829	83459
1069	95922	83371
1070	96007	83278
1071	96101	83192
1072	96192	83103
1073	96281	83013
1074	96384	82935
1075	96484	82854
1076	96599	82786
1077	96684	82693
1078	96790	82617
1079	96917	82559
1080	97025	82485
1081	97150	82425
1082	97252	82345
1083	97340	82254
1084	97425	82160
1085	97507	82064
1086	97592	81970
1087	97694	81890
1088	97806	81820
1089	97922	81751
1090	98024	81671
1091	98125	81591
1092	98211	81498
1093	98296	81404
1094	98391	81319
1095	98499	81243
1096	98582	81148
1097	98676	81061
1098	98766	80971
1099	98851	80878
1100	98956	80800
1101	99037	80703
1102	99159	80639
1103	99248	80549
1104	99342	80462
1105	99443	80381
1106	99543	80300
1107	99629	80207
1108	99718	80116
1109	99806	80025
1110	99897	79936
1111	99983	79843
1112	100075	79754
1113	100170	79669
1114	100275	79590
1115	100363	79499
1116	100471	79423
1117	100553	79327
1118	100637	79232
1119	100723	79140
1120	100820	79055
1121	100905	78961
1122	100999	78875
1123	101079	78776
1124	101167	78685
1125	101249	78589
1126	101357	78513
1127	101459	78433
1128	101548	78342
1129	101650	78261
1130	101751	78180
1131	101849	78096
1132	101943	78009
1133	102030	77917
1134	102152	77851
1135	102269	77782
1136	102348	77684
1137	102450	77603
1138	102538	77511
1139	102625	77418
1140	102716	77329
1141	102799	77234
1142	102882	77139
1143	102984	77058
1144	103079	76972
1145	103164	76878
1146	103250	76784
1147	103338	76693
1148	103422	76598
1149	103538	76528
1150	103620	76432
1151	103732	76358
1152	103816	76264
1153	103902	76170
1154	103993	76081
1155	104087	75994
1156	104191	75914
1157	104277	75821
1158	104382	75742
1159	104476	75655
1160	104593	75584
1161	104696	75504
1162	104784	75412
1163	104883	75328
1164	104977	75241
1165	105078	75158
1166	105163	75065
1167	105270	74987
1168	105360	74897
1169	105461	74814
1170	105588	74750
1171	105707	74680
1172	105806	74596
1173	105904	74512
1174	106008	74431
1175	106099	74341
1176	106201	74259
1177	106302	74176
1178	106397	74090
1179	106480	73994
1180	106571	73905
1181	106652	73808
1182	106740	73716
1183	106834	73628
1184	106937	73547
1185	107033	73461
1186	107138	73381
1187	107243	73301
1188	107355	73225
1189	107475	73155
1190	107573	73070
1191	107672	72986
1192	107786	72911
1193	107896	72834
1194	108023	72768
1195	108117	72680
1196	108200	72585
1197	108292	72496
1198	108386	72408
1199	108480	72320
1200	108571	72230
1201	108676	72149
1202	108770	72061
1203	108858	71969
1204	108971	71893
1205	109059	71802
1206	109175	71728
1207	109265	71637
1208	109345	71540
1209	109431	71446
1210	109526	71359
1211	109624	71274
1212	109722	71188
1213	109806	71093
1214	109888	70998
1215	109980	70908
1216	110073	70819
1217	110166	70730
1218	110247	70634
1219	110332	70540
1220	110415	70445
1221	110516	70361
1222	110613	70275
1223	110702	70184
1224	110797	70096
1225	110881	70002
1226	110964	69906
1227	111055	69816
1228	111153	69731
1229	111247	69642
1230	111333	69549
1231	111442	69470
1232	111531	69379
1233	111630	69294
1234	111712	69198
1235	111795	69103
1236	111881	69010
1237	111970	68919
1238	112080	68840
1239	112167	68748
1240	112254	68655
1241	112344	68564
1242	112455	68486
1243	112547	68397
1244	112643	68310
1245	112740	68223
1246	112832	68133
1247	112928	68046
1248	113041	67969
1249	113188	67912
1250	113308	67840
1251	113394	67746
1252	113487	67657
1253	113579	67568
1254	113676	67481
1255	113774	67394
1256	113857	67299
1257	113939	67204
1258	114032	67115
1259	114137	67033
1260	114221	66938
1261	114314	66849
1262	114397	66754
1263	114495	66668
1264	114582	66575
1265	114666	66481
1266	114762	66394
1267	114865	66310
1268	114955	66219
1269	115067	66141
1270	115165	66054
1271	115249	65960
1272	115339	65869
1273	115425	65776
1274	115517	65686
1275	115607	65595
1276	115705	65508
1277	115823	65433
1278	115918	65345
1279	116017	65259
1280	116106	65168
1281	116187	65072
1282	116285	64985
1283	116373	64893
1284	116471	64806
1285	116560	64715
1286	116658	64628
1287	116749	64538
1288	116827	64440
1289	116913	64347
1290	117037	64275
1291	117128	64185
1292	117251	64112
1293	117333	64016
1294	117426	63927
1295	117505	63830
1296	117600	63741
1297	117692	63652
1298	117777	63558
1299	117874	63471
1300	117955	63374
1301	118035	63278
1302	118117	63183
1303	118198	63087
1304	118296	63000
1305	118385	62909
1306	118496	62829
1307	118576	62732
1308	118664	62641
1309	118786	62567
1310	118867	62471
1311	118954	62378
1312	119044	62287
1313	119128	62193
1314	119224	62105
1315	119312	62013
1316	119398	61920
1317	119485	61828
1318	119566	61732
1319	119677	61651
1320	119758	61556
1321	119873	61478
1322	119982	61396
1323	120070	61305
1324	120153	61210
1325	120240	61117
1326	120334	61028
1327	120427	60939
1328	120507	60843
1329	120586	60746
1330	120680	60657
1331	120767	60564
1332	120867	60478
1333	120962	60390
1334	121040	60293
1335	121131	60202
1336	121220	60111
1337	121301	60016
1338	121381	59920
1339	121460	59823
1340	121585	59750
1341	121672	59657
1342	121763	59567
1343	121858	59478
1344	121944	59385
1345	122031	59293
1346	122115	59199
1347	122194	59103
1348	122292	59015
1349	122393	58929
1350	122470	58833
1351	122550	58737
1352	122650	58651
1353	122736	58557
1354	122815	58462
1355	122919	58377
1356	123009	58286
1357	123092	58192
1358	123202	58110
1359	123289	58018
1360	123377	57926
1361	123465	57834
1362	123567	57749
1363	123653	57656
1364	123745	57566
1365	123852	57483
1366	123953	57397
1367	124041	57305
1368	124147	57222
1369	124227	57126
1370	124318	57035
1371	124399	56940
1372	124486	56848
1373	124567	56753
1374	124654	56661
1375	124748	56571
1376	124840	56481
1377	124952	56400
1378	125038	56308
1379	125134	56219
1380	125223	56128
1381	125319	56040
1382	125435	55960
1383	125519	55866
1384	125601	55772
1385	125701	55686
1386	125803	55600
1387	125900	55512
1388	125987	55419
1389	126080	55330
1390	126190	55248
1391	126284	55158
1392	126371	55066
1393	126465	54977
1394	126573	54893
1395	126695	54816
1396	126782	54724
1397	126876	54635
1398	126979	54549
1399	127099	54471
1400	127198	54383
1401	127291	54294
1402	127381	54203
1403	127478	54114
1404	127568	54023
1405	127653	53930
1406	127756	53844
1407	127840	53751
1408	127926	53658
1409	128022	53569
1410	128108	53476
1411	128229	53398
1412	128350	53320
1413	128459	53237
1414	128588	53161
1415	128682	53072
1416	128801	52993
1417	128906	52908
1418	128987	52813
1419	129066	52717
1420	129150	52623
1421	129236	52530
1422	129338	52444
1423	129419	52349
1424	129502	52255
1425	129594	52165
1426	129687	52074
1427	129779	51984
1428	129872	51894
1429	130007	51821
1430	130123	51740
1431	130221	51652
1432	130300	51556
1433	130381	51461
1434	130477	51372
1435	130557	51277
1436	130661	51191
1437	130760	51103
1438	130838	51008
1439	130934	50919
1440	131017	50824
1441	131097	50729
1442	131178	50635
1443	131266	50543
1444	131392	50465
1445	131480	50373
1446	131568	50281
1447	131650	50187
1448	131783	50112
1449	131875	50021
1450	131964	49929
1451	132054	49838
1452	132132	49743
1453	132214	49648
1454	132315	49561
1455	132402	49469
1456	132490	49377
1457	132595	49291
1458	132677	49197
1459	132775	49108
1460	132871	49019
1461	132955	48926
1462	133054	48838
1463	133165	48754
1464	133266	48667
1465	133354	48575
1466	133471	48493
1467	133572	48406
1468	133675	48319
1469	133762	48227
